127.0.0.1, 2018-04-24 22:47:53, GET, /admin/default/site, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-04-24 22:47:53, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.003000
02000
127.0.0.1, 2018-04-24 22:47:53, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-24 22:47:53, POST, /admin/default/check_version, HTTP/1.1, 200, 0.253000
127.0.0.1, 2018-04-24 22:47:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:48:02, GET, /admin/default/pack/start, HTTP/1.1, 200, 0.469000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/default/index, HTTP/1.1, 200, 0.225000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 22:48:39, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-24 22:48:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:48:42, GET, /start/default/user, HTTP/1.1, 303, 0.014000
127.0.0.1, 2018-04-24 22:48:42, GET, /start/default/user/login, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-04-24 22:48:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-24 22:49:01, GET, /start/default/user/register, HTTP/1.1, 200, 0.030000
